Date,10Y,5Y,2Y
2021-01-01,1.093000054359436,0.4429999887943268,0.04800000041723251
2021-02-01,1.4600000381469727,0.7760000228881836,0.03500000014901161
2021-03-01,1.746000051498413,0.9380000233650208,0.013000000268220901
2021-04-01,1.63100004196167,0.8569999933242798,0.003000000026077032
2021-05-01,1.5809999704360962,0.7879999876022339,0.00800000037997961
2021-06-01,1.4429999589920044,0.8730000257492065,0.03999999910593033
2021-07-01,1.2389999628067017,0.703000009059906,0.03999999910593033
2021-08-01,1.3040000200271606,0.7720000147819519,0.03999999910593033
2021-09-01,1.5290000438690186,0.996999979019165,0.02800000086426735
2021-10-01,1.5570000410079956,1.187999963760376,0.04800000041723251
2021-11-01,1.4429999589920044,1.149999976158142,0.04800000041723251
2021-12-01,1.5119999647140503,1.2630000114440918,0.032999999821186066
2022-01-01,1.781999945640564,1.6139999628067017,0.17299999296665192
2022-02-01,1.8389999866485596,1.7209999561309814,0.2879999876022339
2022-03-01,2.3269999027252197,2.421999931335449,0.49300000071525574
2022-04-01,2.88700008392334,2.9119999408721924,0.8080000281333923
2022-05-01,2.8440001010894775,2.811000108718872,1.0299999713897705
2022-06-01,2.9719998836517334,3.003999948501587,1.600000023841858
2022-07-01,2.6419999599456787,2.694999933242798,2.2980000972747803
2022-08-01,3.132999897003174,3.2839999198913574,2.859999895095825
2022-09-01,3.803999900817871,4.040999889373779,3.180000066757202
2022-10-01,4.077000141143799,4.248000144958496,3.9749999046325684
2022-11-01,3.703000068664551,3.8320000171661377,4.252999782562256
2022-12-01,3.878999948501587,4.0,4.260000228881836
2023-01-01,3.5290000438690186,3.638000011444092,4.570000171661377
2023-02-01,3.9159998893737793,4.168000221252441,4.710000038146973
2023-03-01,3.49399995803833,3.6110000610351562,4.585000038146973
2023-04-01,3.4519999027252197,3.5360000133514404,4.922999858856201
2023-05-01,3.63700008392334,3.743000030517578,5.248000144958496
2023-06-01,3.819000005722046,4.132999897003174,5.1529998779296875
2023-07-01,3.9590001106262207,4.178999900817871,5.248000144958496
2023-08-01,4.0929999351501465,4.24399995803833,5.297999858856201
2023-09-01,4.572999954223633,4.605999946594238,5.300000190734863
2023-10-01,4.875,4.815999984741211,5.320000171661377
2023-11-01,4.3520002365112305,4.297999858856201,5.23799991607666
2023-12-01,3.865999937057495,3.8399999141693115,5.179999828338623
